143.2723 129.8283
206.6024 197.7138
174.3526 202.8011
205.2459 170.9627
178.2392 172.9744
194.2076 195.7286
127.5419 128.9202
137.2994 170.2234
118.313 202.4524
209.2962 134.5004
198.0447 201.0231
129.2758 119.8963
134.5571 122.7013
192.1827 133.396
140.6284 166.0417
181.7013 171.197
181.1103 118.8741
173.3349 163.3935
138.9528 126.3395
209.7738 170.5662
166.0859 186.6513
137.0838 144.9672
179.2956 193.2163
189.5551 120.1449
135.4321 185.3361
135.0617 204.9059
134.5294 189.8363
147.0427 145.0572
207.7663 152.1501
114.1101 185.222
110.2491 158.2278
176.4271 174.8157
203.1893 112.145
184.9794 179.6589
161.2538 166.4242
136.1523 154.2677
176.9993 124.0865
165.1835 142.2418
185.1758 193.0723
129.905 141.0516
120.3754 182.3217
134.2144 203.0216
122.3431 113.6623
165.5344 199.8006
174.9289 169.923
173.4221 178.8155
130.6082 200.9001
166.5816 191.5217
136.754 121.8684
131.301 129.1218
388.1939 341.7481
1013.821 847.8818
725.0062 852.1612
1038.719 615.3743
800.4376 699.0452
734.5546 939.3921
465.2051 313.3072
452.2251 688.1813
194.1862 778.3978
887.0352 342.2872
924.9999 845.6747
375.18 277.7825
695.9462 338.8518
747.7505 428.6134
344.926 647.4353
685.1211 668.0433
501.2267 388.7652
696.5071 574.687
374.1344 387.7312
1186.112 658.1461
573.9544 715.1374
623.7976 563.7786
608.7427 786.6398
989.7546 475.0872
586.8545 893.9259
442.6859 845.4121
494.1202 756.1801
649.5189 558.0335
957.4768 573.2016
335.1084 779.0512
159.3644 378.299
668.5843 708.9552
916.4775 396.1777
721.6997 675.907
604.2545 472.2964
402.9131 556.1336
899.741 345.2996
598.8478 521.263
639.2537 747.4224
402.5174 447.5492
180.2606 834.4465
327.524 1172.678
444.9479 300.733
625.0439 887.6105
661.8418 682.77
715.5548 773.7155
176.7443 1134.885
615.3504 899.673
411.0751 155.3311
464.2789 414.112
